trade_id,entry_time,exit_time,symbol,direction,entry_price,exit_price,lots,sl_price,tp_price,entry_spread,exit_spread,pnl_cash,pnl_pct,exit_reason,duration_minutes,equity_after
1,2025-09-12 14:11:00+00:00,2025-09-13 14:11:00+00:00,BTCUSD.x,BUY,114920.17000000001,115793.89,0.01,115320.93460000001,116987.479,76.3,76.3,8.737199999999866,0.087295727976551,TIME_BARRIER,1440.0,10008.7372
2,2025-09-13 14:12:00+00:00,2025-09-14 14:12:00+00:00,BTCUSD.x,BUY,115870.98000000001,115992.55,0.01,114828.96765,117955.0047,77.07000000000001,82.24,1.2156999999999243,0.012144912290245884,TIME_BARRIER,1440.0,10009.9529
3,2025-09-14 14:13:00+00:00,2025-09-15 07:20:00+00:00,BTCUSD.x,SELL,115992.53,115914.65000000001,0.01,115914.63,113904.88424,77.9,76.3,0.778799999999901,0.007779651111815343,STOP_LOSS,1027.0,10010.7317
4,2025-09-15 07:25:00+00:00,2025-09-15 11:50:00+00:00,BTCUSD.x,BUY,115922.27,114879.45483,0.01,114879.47483,118007.86034,76.8,76.3,-10.428151700000017,-0.10427835164836319,STOP_LOSS,265.0,10000.3035483
5,2025-09-15 12:01:00+00:00,2025-09-16 12:02:00+00:00,BTCUSD.x,BUY,114692.27,115563.26,0.01,114768.57,116757.09752000001,76.3,76.60000000000001,8.709899999999907,0.08702056446411566,TIME_BARRIER,1441.0,10009.0134483
6,2025-09-16 12:09:00+00:00,2025-09-16 20:16:00+00:00,BTCUSD.x,SELL,115596.98999999999,116637.00914,0.01,116636.98913999999,113516.99171999999,77.09,76.3,-10.40019140000004,-0.1040163383939559,STOP_LOSS,487.0,9998.6132569
7,2025-09-16 20:16:00+00:00,2025-09-17 17:29:00+00:00,BTCUSD.x,BUY,116577.40000000001,115528.55384000001,0.01,115528.57384000001,118675.05232,76.3,76.3,-10.48846160000001,-0.10500931671313767,STOP_LOSS,1273.0,9988.1247953
8,2025-09-17 17:34:00+00:00,2025-09-18 01:55:00+00:00,BTCUSD.x,SELL,115642.06,116681.99463,0.01,116681.97463,113562.23074,76.5,76.55,-10.399346300000033,-0.10422562089080423,STOP_LOSS,501.0,9977.725449
9,2025-09-18 02:10:00+00:00,2025-09-19 02:10:00+00:00,BTCUSD.x,SELL,116872.15999999999,116779.18999999999,0.01,117924.25477999999,114767.97043999999,77.49,76.79,0.9297000000000116,0.009316886755959097,TIME_BARRIER,1440.0,9978.655149
10,2025-09-19 02:13:00+00:00,2025-09-19 17:50:00+00:00,BTCUSD.x,BUY,116759.98,115709.96942,0.01,115709.98942,118859.96115999999,77.67,76.3,-10.50010580000002,-0.10533650163440127,STOP_LOSS,937.0,9968.1550432
