trade_id,entry_time,exit_time,symbol,direction,entry_price,exit_price,lots,sl_price,tp_price,entry_spread,exit_spread,pnl_cash,pnl_pct,exit_reason,duration_minutes,equity_after
1,2026-06-16 10:30:00+00:00,2026-06-16 14:05:00+00:00,BTCUSD.x,BUY,66332.85,66398.0,0.01,66398.02,67576.05581250001,65.17,65.1,0.6514999999999418,0.006514575575400681,STOP_LOSS,215.0,10000.6515
2,2026-06-16 20:35:00+00:00,2026-06-17 10:50:00+00:00,BTCUSD.x,BUY,65814.24,65314.22000000001,0.01,65314.240000000005,67045.60125,65.15,65.15,-5.0001999999999684,-0.05002375382982767,STOP_LOSS,855.0,9995.6513
3,2026-06-17 11:05:00+00:00,2026-06-17 15:45:00+00:00,BTCUSD.x,SELL,65401.01,65095.57,0.01,65095.55,64175.371250000004,65.11,65.1,3.0544000000000233,0.03054795382166337,STOP_LOSS,280.0,9998.7057
4,2026-06-17 19:10:00+00:00,2026-06-17 19:40:00+00:00,BTCUSD.x,BUY,65792.75,65857.84999999999,0.01,65857.87,67272.856475,65.12,65.14,0.6509999999999126,0.006510418815241511,STOP_LOSS,30.0,9999.3567
5,2026-06-17 19:40:00+00:00,2026-06-17 21:00:00+00:00,BTCUSD.x,BUY,66011.56,65511.54,0.01,65511.56,67494.1453,65.14,65.1,-5.0001999999999684,-0.05003023456287524,STOP_LOSS,80.0,9994.3565
6,2026-06-17 21:05:00+00:00,2026-06-17 21:40:00+00:00,BTCUSD.x,SELL,65175.87,65717.00706376544,0.01,65716.98706376544,63823.07734058643,65.1,65.1,-5.411370637654399,-0.05417359458455489,STOP_LOSS,35.0,9988.945129362346
7,2026-06-17 21:50:00+00:00,2026-06-17 22:40:00+00:00,BTCUSD.x,SELL,65857.65999999999,64266.673938936714,0.01,64981.173309310376,64266.673938936714,65.1,65.1,15.90986061063275,0.15902140137541082,TAKE_PROFIT,50.0,10004.854989972979
8,2026-06-18 11:10:00+00:00,2026-06-18 16:05:00+00:00,BTCUSD.x,SELL,64566.55,64422.25,0.01,64422.23,63357.548125,65.1,65.17,1.4430000000000291,0.014420917720479818,STOP_LOSS,295.0,10006.297989972978
9,2026-06-18 16:55:00+00:00,2026-06-18 18:50:00+00:00,BTCUSD.x,SELL,64037.3,62599.142750000006,0.01,63223.47,62599.142750000006,65.15,65.1,14.381572499999965,0.14351893412357328,TAKE_PROFIT,115.0,10020.679562472978
10,2026-06-18 18:50:00+00:00,2026-06-18 20:30:00+00:00,BTCUSD.x,SELL,62710.600000000006,62645.520000000004,0.01,62645.50000000001,61305.07720000001,65.1,65.1,0.6508000000000175,0.006494147747459536,STOP_LOSS,100.0,10021.330362472978
